TF	accession	% target	% background	method
ZNF24	ENCSR099NCH			method1
GATAD2A	ENCSR160QYK			method1
PCBP1	ENCSR052PTN			method1
FIP1L1	ENCSR177DNR			method1
U2AF1	ENCSR690GUG			method1
NONO	ENCSR415TXN			method1
GTF2F1	ENCSR189VXS			method1
FUS	ENCSR051DXE			method1
FOSL1	ENCSR000BMV	12.67	11.17	method1
CBX2	GSE121182			method1
CBX8	GSE121182			method1
TFDP1	ENCSR017GBO	5.88	3.05	method1
PTBP1	ENCSR948KMB			method1
RNF2	ENCSR076YPO			method1
ZNF282	ENCSR742TMU			method1
CTCF	GSE110681	41.07	38.95	method1
STAG1	ENCSR153HNT			method1
E2F3	ENCSR036QIR	0.60	0.32	method1
GATAD2B	ENCSR547LKC			method1
ELK1	ENCSR338QAC	37.86	9.96	method1
REST	ENCSR137ZMQ	0.32	0.14	method1
SOX6	ENCSR788RSW	31.22	29.91	method1
NONO	ENCSR010KFT			method1
SPI1	GSE74999	1.27	0.82	method1
NR4A1	ENCSR692RET			method1
ZNF143	ENCSR000EGP	3.16	2.32	method1
TBL1XR1	ENCSR000EGA			method1
E2F5	ENCSR709DRM	11.27	7.79	method1
RCOR1	ENCSR000EGC			method1
IRF1	GSE129380	0.52	0.18	method1
BCLAF1	ENCSR000BKH			method1
GTF2F1	ENCSR000EHC			method1
RUNX1	ENCSR588AKU			method1
WDR5	GSE115377			method1
ZNF24	ENCSR385AHH			method1
POU5F1	ENCSR364SNE			method1
KLF16	ENCSR760UVO			method1
HDAC2	ENCSR000AQG			method1
SUZ12	ENCSR412CTM			method1
TAF7	ENCSR000BNM			method1
PRMT5	ENCSR625ZVM			method1
MTA2	ENCSR411UYA			method1
RBM14	ENCSR423FCW			method1
ZBTB33	ENCSR000BKF	27.40	5.91	method1
ID3	ENCSR005NMT			method1
HDGF	ENCSR563YDA			method1
SPI1	ENCSR000BGW	1.18	0.88	method1
ATF7	ENCSR972ZBV	5.96	3.08	method1
ZNF184	ENCSR621ATC			method1
SMARCC2	ENCSR519WMW			method1
NCOR1	ENCSR798ILC			method1
CBFA2T3	ENCSR697YLJ			method1
PBX2	ENCSR263DFP	0.29	0.22	method1
MEIS2	ENCSR851BNE			method1
ZEB2	ENCSR004GKA			method1
FOSL1	ENCSR239ZLZ	13.70	11.53	method1
ZNF148	ENCSR018MSO			method1
ARID3A	ENCSR000EFY			method1
ZEB2	ENCSR322CFO			method1
TCF3	ENCSR970OJY			method1
CUX1	ENCSR000EFO	15.11	12.05	method1
KLF13	ENCSR608HVP	13.81	10.39	method1
REST	ENCSR000ATM	1.47	0.15	method1
ATF1	ENCSR091GVJ	17.88	15.77	method1
ZMYM3	ENCSR102KIN			method1
ZNF436	ENCSR335SUD	21.74	15.68	method1
MITF	ENCSR000FCB	10.82	4.07	method1
SUZ12	ENCSR000AUC			method1
KDM1A	ENCSR000ATX			method1
RBM39	ENCSR764OXF			method1
DACH1	ENCSR030TJP			method1
CEBPG	ENCSR490LWA	7.47	6.46	method1
HDAC8	ENCSR835TCD			method1
HDAC8	ENCSR000DJZ			method1
NR2F6	ENCSR707QWA			method1
NCOR1	ENCSR000ATY			method1
SMARCA4	ENCSR587OQL			method1
HOXB8	GSE121208			method1
TARDBP	ENCSR033VAZ			method1
FOXM1	ENCSR429QPP			method1
MNT	ENCSR979QYJ	23.19	16.66	method1
PBX2	ENCSR633EIC			method1
RLF	ENCSR718SDE			method1
SMAD2	ENCSR189PYJ			method1
PHF21A	ENCSR119VCX			method1
STAT5A	ENCSR000BRR	28.53	25.90	method1
PAX8	ENCSR274CGK	0.74	0.27	method1
HDAC2	ENCSR000BMG			method1
STAT1	ENCSR000EHJ	1.17	0.45	method1
GTF3C2	ENCSR000DOD			method1
SIX5	ENCSR000BNW	34.73	25.30	method1
JUN	ENCSR000EGH	4.32	2.30	method1
NSD2	ENCSR000AVE			method1
GATA1	ENCSR000EWM	7.23	6.57	method1
CHD1	ENCSR000AQD			method1
SIN3B	ENCSR657JLK			method1
ZMIZ1	ENCSR907JPB			method1
SAP30	ENCSR000AQJ			method1
EZH2	ENCSR000AQE			method1
NFIX	ENCSR574VJG	9.23	6.68	method1
TAF15	ENCSR047LSJ			method1
MITF	ENCSR797SWM	6.91	3.71	method1
USF2	ENCSR578KEN	1.36	0.33	method1
MIER1	ENCSR426MDV			method1
ZBTB5	ENCSR786OQY			method1
CC2D1A	ENCSR343IFJ			method1
HINFP	ENCSR619GFP			method1
KLF1	ENCSR550HCT	22.86	19.79	method1
NBN	ENCSR085QEV			method1
ZNF740	ENCSR737UST	64.30	50.35	method1
CHD7	ENCSR000AVD			method1
ESRRA	ENCSR486IFJ	29.78	26.00	method1
SP1	ENCSR991ELG	19.36	12.62	method1
RUNX1	ENCSR414TYY	5.55	4.03	method1
KDM1A	ENCSR360HRA			method1
TCF7L2	ENCSR888XZK			method1
SIRT6	ENCSR000AUB			method1
CDC5L	ENCSR121PFY			method1
DNMT1	ENCSR987PBI			method1
L3MBTL2	GSE28162			method1
RFX1	ENCSR041AXL	12.00	7.23	method1
ZNF12	ENCSR041YBR	66.74	62.63	method1
RFX1	ENCSR968GIB	11.18	6.85	method1
FOXK2	ENCSR508DQA			method1
TAF7	ENCSR671GFC			method1
YBX3	ENCSR567JEU			method1
ELF4	ENCSR638QHV	22.99	9.56	method1
ZNF143	GSE39263	3.82	2.07	method1
ELK1	ENCSR000EFU	51.51	11.51	method1
ZC3H11A	ENCSR000EFR			method1
CREB3L1	ENCSR109YGM	7.03	5.09	method1
RELA	ENCSR772EEN			method1
ZNF24	ENCSR117WTM			method1
FOS	ENCSR000DKB	5.34	3.48	method1
IRF1	ENCSR854MCV	0.63	0.24	method1
RBM34	ENCSR899GSH			method1
HIF1A	GSE123461	10.00	6.16	method1
EPAS1	GSE123461	3.74	0.92	method1
NR4A1	ENCSR130PDE	7.71	6.83	method1
SRF	ENCSR582IAO	0.12	0.06	method1
NFRKB	ENCSR657EOF			method1
MTA2	ENCSR113LAS			method1
ZNF165	ENCSR172XJS			method1
ARID3B	ENCSR360UHC			method1
ZNF79	ENCSR995FUM			method1
RAD21	ENCSR000FAD			method1
MEF2D	ENCSR647ZXA			method1
MEF2A	ENCSR000BNV	5.70	3.62	method1
ARNT	ENCSR613NUC	0.99	0.80	method1
NFRKB	ENCSR996ESX			method1
PHB2	ENCSR924GXX			method1
SETDB1	ENCSR000EWD			method1
PCBP2	ENCSR603REQ			method1
CHD4	ENCSR000ATL			method1
CEBPZ	ENCSR618GDK	37.09	10.67	method1
BRD4	ENCSR583ACG			method1
CDK8	GSE65138			method1
ZNF274	ENCSR000EVX	9.42	6.87	method1
ZNF583	ENCSR775EQV			method1
GTF2A2	ENCSR801RPW			method1
ATF3	ENCSR632DCH	8.60	4.01	method1
ZNF76	ENCSR257AFV	2.55	0.53	method1
NCOA1	ENCSR931HNY			method1
DIDO1	ENCSR167JBG			method1
TBX18	ENCSR385IUC			method1
CREB3	ENCSR093FKD	11.89	9.22	method1
ZNF324	ENCSR712KVZ			method1
CEBPG	ENCSR620VIC	7.43	6.20	method1
ZNF239	ENCSR606KTL			method1
HIVEP1	ENCSR947PJZ			method1
HOMEZ	ENCSR801JWB			method1
JUNB	ENCSR525VAT	5.55	3.15	method1
ATF4	ENCSR145TSJ	1.38	0.79	method1
ZNF175	ENCSR011PEI			method1
ZNF584	ENCSR149ZBI			method1
SMAD3	ENCSR376XAV			method1
ZNF589	ENCSR603XLW			method1
SHOX2	ENCSR184IQF			method1
JUN	ENCSR000EZW	3.87	2.36	method1
USF2	ENCSR359NFW	1.97	0.35	method1
TEAD1	ENCSR591ASD			method1
JUN	ENCSR000EZX	4.42	2.44	method1
RAD51	ENCSR524BUE			method1
NFE2	ENCSR000FAF	3.77	1.25	method1
ZNF318	ENCSR352BJL			method1
JUN	ENCSR000EZT	4.02	2.37	method1
FOXK2	ENCSR302AWT			method1
TAF9B	ENCSR100UQX			method1
STAT2	ENCSR000FBC	1.68	0.19	method1
JUNB	ENCSR795IYP	5.44	2.96	method1
USF2	ENCSR000EHG	3.80	0.44	method1
RREB1	ENCSR250WFW			method1
ZBTB11	ENCSR985OYK			method1
THRA	ENCSR264CZJ	1.98	0.88	method1
ETV6	ENCSR124BJR	43.29	27.20	method1
ADNP	ENCSR440VKE			method1
ARNT	ENCSR155KHM	1.04	0.72	method1
GATA2	ENCSR000DKA	10.54	9.20	method1
TAL1	ENCSR106FRG	1.00	0.74	method1
TCF12	ENCSR744WOO			method1
GATA2	ENCSR000BKM	10.71	9.24	method1
LDB1	GSE142227			method1
CBFA2T3	GSE142227			method1
STAT1	ENCSR000FAU	3.50	0.53	method1
GATA2	ENCSR257RKC	10.33	8.84	method1
STAT2	ENCSR000FAT	0.81	0.21	method1
GATA1	ENCSR000EFT	8.65	7.52	method1
AFF1	ENCSR426URK			method1
ZNF644	ENCSR729HVR			method1
KLF6	ENCSR297CGF	3.16	2.36	method1
ZNF215	ENCSR699RWG			method1
IRF9	ENCSR926KTP			method1
ZNF311	ENCSR388ZRV	31.59	27.70	method1
MAFG	ENCSR818DQV			method1
NFATC3	ENCSR670FDA	38.60	35.93	method1
HMBOX1	ENCSR757IIU	16.53	13.66	method1
IRF1	ENCSR000EGL	1.46	0.22	method1
ARNT	ENCSR669NFS	1.49	0.75	method1
STAT1	ENCSR000FAV	3.83	0.56	method1
IRF1	ENCSR000EGU	4.63	0.22	method1
IRF1	ENCSR000EGK	1.79	0.20	method1
NRF1	ENCSR000EHH	11.57	1.87	method1
ELF1	ENCSR975SSR	61.33	24.52	method1
HDAC6	ENCSR000ATJ			method1
TP53	GSE131484	14.84	10.61	method1
SP2	ENCSR000BNL	33.08	27.51	method1
NR4A1	ENCSR000DJW	9.26	7.01	method1
ZNF444	ENCSR164RIC	26.99	19.41	method1
HIF1A	GSE142865	9.37	5.18	method1
ZNF407	ENCSR011NOZ			method1
HDAC3	ENCSR024LKA			method1
ZNF764	ENCSR023OOE			method1
MORC2	GSE95374			method1
TASOR	GSE95374			method1
TRIM28	ENCSR000EVY			method1
ZNF445	ENCSR883UGG			method1
ZNF41	ENCSR235PYI	8.14	7.32	method1
ZNF197	ENCSR580IAO			method1
SIX5	ENCSR000BGX	36.97	24.85	method1
KAT2B	ENCSR000ATZ			method1
BCL6	ENCSR802AHH			method1
ZNF83	ENCSR257XVY			method1
ZNF134	ENCSR553NTC	21.73	20.46	method1
ZNF395	ENCSR462QZZ			method1
ZNF507	ENCSR577KQD			method1
TCFL5	ENCSR844JVU			method1
BACH1	ENCSR000EGD	8.92	4.86	method1
DDX20	ENCSR446LAV			method1
TSC22D4	ENCSR787RVK			method1
STAT1	ENCSR000EHK	1.59	0.55	method1
PTTG1	ENCSR314BBS			method1
DDX20	ENCSR382AIB			method1
PTRF	ENCSR126FZN			method1
ZNF700	ENCSR959BQO			method1
CREB5	ENCSR935PEA	11.46	7.07	method1
MCM7	ENCSR542WJU			method1
MCM2	ENCSR552PSV			method1
ZNF319	ENCSR231PDA			method1
PYGO2	ENCSR410DWC			method1
ASH1L	ENCSR115BBC			method1
ZNF740	ENCSR532EMP			method1
CBX3	ENCSR000ATV			method1
SRSF7	ENCSR222MYK			method1
ZNF408	ENCSR758PLU			method1
HNRNPUL1	ENCSR296MXW			method1
SNRNP70	ENCSR754ZHU			method1
E2F1	ENCSR563LLO	14.67	8.54	method1
NFE2	ENCSR552YGL	2.23	1.23	method1
NCOA2	ENCSR349TZO			method1
THRAP3	ENCSR871TKJ			method1
CCAR2	ENCSR598GER			method1
NCOA6	ENCSR168CEE			method1
E2F7	ENCSR171CAY	4.24	0.28	method1
ILF3	ENCSR632TJQ			method1
ZNF407	ENCSR439OCL			method1
PYGO2	ENCSR431XGJ			method1
ATRX	GSE70920			method1
BCLAF1	ENCSR792IYC			method1
MCM5	ENCSR079WHK			method1
MCM7	ENCSR068VRA			method1
TRIP13	ENCSR154EIH			method1
RBM15	ENCSR850WUE			method1
ETV6	ENCSR000FCE	38.92	24.01	method1
EP300	ENCSR000EGY			method1
SETDB1	ENCSR000AUT			method1
PATZ1	ENCSR549PVK			method1
LEF1	ENCSR832OGB			method1
ZNF830	ENCSR033NQK			method1
GTF2B	ENCSR000DOE			method1
TSHZ1	ENCSR958JPH			method1
ZNF354B	ENCSR044IXA			method1
MYBL2	ENCSR162IEM	10.43	4.72	method1
ZZZ3	ENCSR780BBJ			method1
EWSR1	ENCSR142YYA			method1
ZKSCAN8	ENCSR448UKK			method1
BACH1	ENCSR740NPG	7.76	5.39	method1
TEAD2	ENCSR635GTR	4.60	2.85	method1
NFE2L1	ENCSR632SHZ			method1
ZBTB40	ENCSR158RYZ			method1
ILK	ENCSR648INT			method1
ZNF23	ENCSR898IDK			method1
ZNF174	ENCSR056VYW			method1
ZNF133	ENCSR619UPN			method1
KLF10	ENCSR121SPB			method1
ZNF397	ENCSR508EEX			method1
ZNF696	ENCSR276RQG			method1
SMARCB1	ENCSR000EHN			method1
TOP2A	GSE79593			method1
CHAMP1	ENCSR065XVO			method1
ZNF318	ENCSR334HSW			method1
ZNF507	ENCSR598TIR			method1
ZNF766	ENCSR194IJN			method1
HDAC1	ENCSR568PGX			method1
XRCC3	ENCSR997NGQ			method1
ZKSCAN3	ENCSR199HGP			method1
CUX1	GSE92882	16.26	13.60	method1
FOXA1	ENCSR819LHG			method1
NCOA2	ENCSR803EKW			method1
CHAMP1	ENCSR315NNL			method1
ZNF830	ENCSR851XLW			method1
SIRT6	ENCSR000DOH			method1
BRCA1	ENCSR223MLH			method1
ZNF354B	ENCSR674SCQ			method1
NR3C1	ENCSR325DER			method1
FOXJ2	ENCSR847LBF			method1
KAT8	ENCSR086FZL			method1
CLOCK	ENCSR228OQM	28.54	16.86	method1
ESRRB	ENCSR264LYE			method1
HEY1	ENCSR405KTQ			method1
ZNF77	ENCSR844MAB	28.47	19.11	method1
BDP1	ENCSR000DOK			method1
ZNF253	ENCSR271RRH			method1
DLX4	ENCSR017EJY			method1
EP300	ENCSR000AQB			method1
BRF1	ENCSR000DOJ			method1
MYB	GSE124541	1.90	1.85	method1
EP400	ENCSR817QKV			method2
NCOA1	ENCSR658WFQ			method2
ZBTB40	ENCSR237VLT			method2
SMARCE1	ENCSR157TCS			method2
AFF1	ENCSR241LIH			method2
ZNF184	ENCSR546IHU	33.29	25.57	method2
E2F8	ENCSR953DVM	27.95	16.82	method2
NR2C1	ENCSR742IDN	4.15	2.33	method2
PRDM10	ENCSR120MPG			method2
MNT	ENCSR512NLO	25.59	18.44	method2
NUFIP1	ENCSR574XEO			method2
TRIM24	ENCSR907MZR			method2
TCF12	ENCSR189TRZ			method2
LEF1	ENCSR343ELW			method2
ZNF24	ENCSR695EQB			method2
MCM3	ENCSR990AZC			method2
NONO	ENCSR886RYH			method2
TRIM24	ENCSR957LDM			method2
SNIP1	ENCSR654CQU			method2
EHMT2	ENCSR175EOM			method2
HDAC1	ENCSR711VWL			method2
NFATC3	ENCSR051OUX	37.36	30.97	method2
