V1	N	db
RBM34	1057	GTRD
RBMX	11	GTRD
REPIN1	5	GTRD
RFX7	508	GTRD
RLF	353	GTRD
RORA	264	GTRD
RPA1	80	GTRD
RPA2	8	GTRD
RUVBL1	183	GTRD
RUVBL2	39	GTRD
RYBP	1876	GTRD
SAFB2	814	GTRD
SALL4	1870	GTRD
SETBP1	200	GTRD
SETD1A	1531	GTRD
SETD7	1002	GTRD
SFMBT1	1687	GTRD
SIGMAR1	15	GTRD
SIPA1	149	GTRD
SIRT3	61	GTRD
SIX1	380	GTRD
SIX4	42	GTRD
SKIL	1977	GTRD
SKP2	70	GTRD
SMARCA1	138	GTRD
SMCHD1	73	GTRD
SMN1	938	GTRD
SNAI1	515	GTRD
SNAPC2	13	GTRD
SNAPC4	139	GTRD
SNIP1	779	GTRD
SNRNP70	1016	GTRD
SOD1	5	GTRD
SOX10	315	GTRD
SOX11	46	GTRD
SOX15	6	GTRD
SOX3	559	GTRD
SQSTM1	51	GTRD
SRPK1	407	GTRD
SRPK2	80	GTRD
SRSF9	935	GTRD
SS18	416	GTRD
STN1	11	GTRD
SUMO1	1027	GTRD
SUPT16H	1979	GTRD
SUPT20H	1375	GTRD
SVIL	22	GTRD
SYNCRIP	21	GTRD
TAF9B	574	GTRD
TAFAZZIN	486	GTRD
TASOR	292	GTRD
TBPL1	222	GTRD
TBX1	245	GTRD
TBX3	823	GTRD
TCOF1	15	GTRD
TDRD3	5	GTRD
TEAD2	1528	GTRD
TERF1	300	GTRD
TERF2	139	GTRD
TERT	128	GTRD
TET1	1318	GTRD
TFAM	55	GTRD
TFCP2	106	GTRD
TFDP2	5	GTRD
TFEB	1415	GTRD
THRA	111	GTRD
THRAP3	29	GTRD
TOP2B	619	GTRD
TOX4	228	GTRD
TRIP13	98	GTRD
TSHZ1	239	GTRD
TUBG1	10	GTRD
UBE2I	92	GTRD
UBN1	1821	GTRD
VRTN	23	GTRD
WDHD1	203	GTRD
WIZ	21	GTRD
WRN	15	GTRD
WRNIP1	1228	GTRD
XPO1	31	GTRD
YBX1	75	GTRD
YBX3	58	GTRD
ZA	73	GTRD
ZBED4	309	GTRD
ZBED5	1639	GTRD
ZBTB1	115	GTRD
ZBTB12	1316	GTRD
ZBTB18	854	GTRD
ZBTB44	799	GTRD
ZBTB49	10	GTRD
ZBTB5	517	GTRD
ZC3H11A	990	GTRD
ZFHX3	1881	GTRD
ZFP28	132	GTRD
ZFP3	359	GTRD
ZFP36L1	80	GTRD
ZFP37	8	GTRD
ZFP82	44	GTRD
ZFP91	1466	GTRD
ZIM3	1190	GTRD
ZMYM2	130	GTRD
ZMYND11	55	GTRD
ZNF10	831	GTRD
ZNF101	486	GTRD
ZNF112	7	GTRD
ZNF133	237	GTRD
ZNF134	1102	GTRD
ZNF136	15	GTRD
ZNF138	5	GTRD
ZNF140	742	GTRD
ZNF146	1291	GTRD
ZNF157	85	GTRD
ZNF16	77	GTRD
ZNF165	86	GTRD
ZNF169	46	GTRD
ZNF175	866	GTRD
ZNF184	1514	GTRD
ZNF19	13	GTRD
ZNF197	668	GTRD
ZNF2	1205	GTRD
ZNF20	6	GTRD
ZNF202	82	GTRD
ZNF211	7	GTRD
ZNF213	595	GTRD
ZNF214	22	GTRD
ZNF22	1209	GTRD
ZNF223	329	GTRD
ZNF224	1374	GTRD
ZNF23	17	GTRD
ZNF236	265	GTRD
ZNF239	38	GTRD
ZNF248	5	GTRD
ZNF250	586	GTRD
ZNF257	566	GTRD
ZNF26	30	GTRD
ZNF260	879	GTRD
ZNF274	1125	GTRD
ZNF282	1074	GTRD
ZNF292	24	GTRD
ZNF30	1553	GTRD
ZNF302	6	GTRD
ZNF318	1157	GTRD
ZNF320	1603	GTRD
ZNF322	951	GTRD
ZNF329	590	GTRD
ZNF331	371	GTRD
ZNF33A	258	GTRD
ZNF34	336	GTRD
